id,id,en,zh
"Already owned.","Sudah dimiliki.","Already owned.","已拥有。"
"Backsound","Musik","Music","音乐"
"BGM Volume","Volume BGM","BGM Volume","背景音乐音量"
"Buy","Beli","Buy","购买"
"Buy %s\nfor %d %s?","Beli %s\nseharga %d %s?","Buy %s\nfor %d %s?","购买%s\n花费%d%s？"
"Change language to %s?","Ganti bahasa ke %s?","Change language to %s?","切换语言为%s？"
"Chinese","中文","Chinese","中文"
"Checking content","Memeriksa konten","Checking content","检查内容"
"Coins","Koin","Coins","金币"
"Claim","Ambil","Claim","领取"
"Content download failed","Unduhan konten gagal","Content download failed","内容下载失败"
"Content mount failed","Gagal memasang konten","Content mount failed","内容挂载失败"
"Daily Reset","Reset Harian","Daily Reset","每日重置"
"Distance","Jarak","Distance","距离"
"Downloading assets","Mengunduh aset","Downloading assets","正在下载资源"
"English","English","English","英语"
"Gems","Permata","Gems","宝石"
"Indonesian","Bahasa Indonesia","Indonesian","印尼语"
"Language","Bahasa","Language","语言"
"Level Rewards","Hadiah Level","Level Rewards","等级奖励"
"Lv. %d","Lv. %d","Lv. %d","等级 %d"
"%d/%d XP","%d/%d XP","%d/%d XP","%d/%d 经验"
"Loading","Memuat","Loading","加载中"
"Manifest download failed","Unduhan manifest gagal","Manifest download failed","清单下载失败"
"Manifest invalid","Manifest tidak valid","Manifest invalid","清单无效"
"Mission complete: %s (click/press M)","Misi selesai: %s (klik/tekan M)","Mission complete: %s (click/press M)","任务完成：%s（点击/按M）"
"Mission reward ready! Click toast / press M.","Reward misi siap! Klik toast / tekan M.","Mission reward ready! Click toast / press M.","任务奖励已就绪！点击提示/按M。"
"Missions","Misi","Missions","任务"
"Capai jarak {n}m","Capai jarak {n}m","Reach {n}m distance","达到 {n} 米距离"
"Dapatkan DoubleCoins {n} kali","Dapatkan Koin Ganda {n} kali","Get Double Coins {n} times","获得双倍硬币 {n} 次"
"Dapatkan Shield {n} kali","Dapatkan Perisai {n} kali","Get Shield {n} times","获得护盾 {n} 次"
"Dapatkan {n} skill","Dapatkan {n} skill","Get {n} skills","获得 {n} 个技能"
"Kalahkan {n} musuh","Kalahkan {n} musuh","Defeat {n} enemies","击败 {n} 个敌人"
"Kumpulkan {n} koin","Kumpulkan {n} koin","Collect {n} coins","收集 {n} 个硬币"
"Lompat {n} kali","Lompat {n} kali","Jump {n} times","跳跃 {n} 次"
"Mainkan {n} run","Mainkan {n} run","Play {n} runs","玩 {n} 次"
"MISSIONS","Misi","Missions","任务"
"DAILY","Harian","Daily","每日"
"MISSION","Misi","Mission","任务"
"WEEKLY","Mingguan","Weekly","每周"
"MONTHLY","Bulanan","Monthly","每月"
"CHALLENGE","Tantangan","Challenge","挑战"
"BACK","Kembali","Back","返回"
"Money","Uang","Money","现金"
"Monthly Reset","Reset Bulanan","Monthly Reset","每月重置"
"Mounting assets","Memasang aset","Mounting assets","正在挂载资源"
"Mute BGM","Bisukan BGM","Mute BGM","静音BGM"
"Mute SFX","Bisukan SFX","Mute SFX","静音音效"
"Not enough coins.","Koin tidak cukup.","Not enough coins.","金币不足。"
"Not enough gems.","Permata tidak cukup.","Not enough gems.","宝石不足。"
"Now","Sekarang","Now","现在"
"PROFIL PEMAIN","PROFIL PEMAIN","PLAYER PROFILE","玩家资料"
"GANTI AVATAR","GANTI AVATAR","CHANGE AVATAR","更换头像"
"GANTI BORDER","GANTI BORDER","CHANGE BORDER","更换边框"
"TUTUP","TUTUP","CLOSE","关闭"
"Play","Main","Play","开始游戏"
"Purchase successful: %s","Pembelian berhasil: %s","Purchase successful: %s","购买成功：%s"
"Purchase processed.","Pembelian diproses.","Purchase processed.","购买已处理。"
"Not supported.","Tidak didukung.","Not supported.","不支持。"
"SFX Volume","Volume SFX","SFX Volume","音效音量"
"Settings","Pengaturan","Settings","设置"
"Score","Skor","Score","得分"
"[Error] Groups container (HBox) not found","[Error] Wadah grup (HBox) tidak ditemukan","[Error] Groups container (HBox) not found","[错误] 未找到分组容器(HBox)"
"Shop","Toko","Shop","商店"
"Owned","Dimiliki","Owned","已拥有"
"Coming Soon","Segera Hadir","Coming Soon","即将推出"
"Skills & Power-ups (Coins)","Skill & Power-up (Koin)","Skills & Power-ups (Coins)","技能与道具（金币）"
"Upgrades (Coins)","Upgrade (Koin)","Upgrades (Coins)","升级（金币）"
"Upgrades (Gems)","Upgrade (Permata)","Upgrades (Gems)","升级（宝石）"
"Cosmetics (Coins)","Kosmetik (Koin)","Cosmetics (Coins)","外观（金币）"
"Cosmetics (Gems)","Kosmetik (Permata)","Cosmetics (Gems)","外观（宝石）"
